#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   118   0.328557E+04  -0.347144E+02   0.300168E-03  -0.347144E+02   0.100382E+01  -0.960061E-06   0.300168E-03  -0.960061E-06   0.908818E-07
   119   0.331968E+04  -0.353017E+02   0.296978E-03  -0.353017E+02   0.101367E+01  -0.977264E-06   0.296978E-03  -0.977264E-06   0.903267E-07
   120   0.335389E+04  -0.358794E+02   0.293836E-03  -0.358794E+02   0.102313E+01  -0.995943E-06   0.293836E-03  -0.995943E-06   0.897756E-07
   121   0.338819E+04  -0.364471E+02   0.290742E-03  -0.364471E+02   0.103219E+01  -0.101575E-05   0.290742E-03  -0.101575E-05   0.892286E-07
   122   0.342256E+04  -0.370042E+02   0.287695E-03  -0.370042E+02   0.104084E+01  -0.103635E-05   0.287695E-03  -0.103635E-05   0.886856E-07
   123   0.345700E+04  -0.375501E+02   0.284698E-03  -0.375501E+02   0.104907E+01  -0.105738E-05   0.284698E-03  -0.105738E-05   0.881467E-07
   124   0.349150E+04  -0.380842E+02   0.281748E-03  -0.380842E+02   0.105687E+01  -0.107850E-05   0.281748E-03  -0.107850E-05   0.876120E-07
   125   0.352605E+04  -0.386060E+02   0.278847E-03  -0.386060E+02   0.106424E+01  -0.109938E-05   0.278847E-03  -0.109938E-05   0.870812E-07
   126   0.356065E+04  -0.391151E+02   0.275995E-03  -0.391151E+02   0.107117E+01  -0.111966E-05   0.275995E-03  -0.111966E-05   0.865546E-07
   127   0.359528E+04  -0.396108E+02   0.273192E-03  -0.396108E+02   0.107764E+01  -0.113899E-05   0.273192E-03  -0.113899E-05   0.860320E-07
   128   0.362993E+04  -0.400927E+02   0.270438E-03  -0.400927E+02   0.108366E+01  -0.115703E-05   0.270438E-03  -0.115703E-05   0.855135E-07
   129   0.366461E+04  -0.405602E+02   0.267733E-03  -0.405602E+02   0.108921E+01  -0.117344E-05   0.267733E-03  -0.117344E-05   0.849991E-07
   130   0.369929E+04  -0.410127E+02   0.265078E-03  -0.410127E+02   0.109429E+01  -0.118787E-05   0.265078E-03  -0.118787E-05   0.844887E-07
   131   0.373397E+04  -0.414498E+02   0.262473E-03  -0.414498E+02   0.109888E+01  -0.120005E-05   0.262473E-03  -0.120005E-05   0.839824E-07
   132   0.376865E+04  -0.418709E+02   0.259915E-03  -0.418709E+02   0.110301E+01  -0.121001E-05   0.259915E-03  -0.121001E-05   0.834801E-07
