 a		phi		phidot		fde
    0.203265E-06    0.337289E+01   -0.257974E-13    0.468770E-14
    0.203921E-06    0.337289E+01   -0.260605E-13    0.474854E-14
    0.204580E-06    0.337289E+01   -0.263261E-13    0.481017E-14
    0.205240E-06    0.337289E+01   -0.265941E-13    0.487260E-14
    0.205903E-06    0.337289E+01   -0.268647E-13    0.493584E-14
    0.206568E-06    0.337289E+01   -0.271379E-13    0.499990E-14
    0.207235E-06    0.337289E+01   -0.274136E-13    0.506479E-14
    0.207904E-06    0.337289E+01   -0.276919E-13    0.513052E-14
    0.208576E-06    0.337289E+01   -0.279729E-13    0.519711E-14
    0.209249E-06    0.337289E+01   -0.282565E-13    0.526456E-14
    0.209925E-06    0.337289E+01   -0.285428E-13    0.533288E-14
    0.210603E-06    0.337289E+01   -0.288317E-13    0.540210E-14
    0.211283E-06    0.337289E+01   -0.291235E-13    0.547221E-14
    0.211966E-06    0.337289E+01   -0.294180E-13    0.554323E-14
    0.212650E-06    0.337289E+01   -0.297152E-13    0.561517E-14
    0.213337E-06    0.337289E+01   -0.300153E-13    0.568804E-14
    0.214026E-06    0.337289E+01   -0.303183E-13    0.576186E-14
    0.214717E-06    0.337289E+01   -0.306241E-13    0.583664E-14
    0.215410E-06    0.337289E+01   -0.309328E-13    0.591239E-14
    0.216106E-06    0.337289E+01   -0.312444E-13    0.598913E-14
    0.216804E-06    0.337289E+01   -0.315590E-13    0.606686E-14
    0.217504E-06    0.337289E+01   -0.318766E-13    0.614559E-14
    0.218207E-06    0.337289E+01   -0.321972E-13    0.622535E-14
    0.218911E-06    0.337289E+01   -0.325208E-13    0.630615E-14
    0.219618E-06    0.337289E+01   -0.328476E-13    0.638799E-14
    0.220327E-06    0.337289E+01   -0.331774E-13    0.647089E-14
    0.221039E-06    0.337289E+01   -0.335103E-13    0.655488E-14
    0.221753E-06    0.337289E+01   -0.338465E-13    0.663995E-14
    0.222469E-06    0.337289E+01   -0.341858E-13    0.672612E-14
    0.223187E-06    0.337289E+01   -0.345284E-13    0.681341E-14
    0.223908E-06    0.337289E+01   -0.348742E-13    0.690184E-14
