#    L    TT             EE             BB             TE          
   249   0.547656E+04   0.230891E+01   0.223188E-01   0.617161E+02
   250   0.545921E+04   0.238890E+01   0.224938E-01   0.633460E+02
   251   0.544132E+04   0.247110E+01   0.226687E-01   0.649659E+02
   252   0.542290E+04   0.255553E+01   0.228435E-01   0.665752E+02
   253   0.540395E+04   0.264220E+01   0.230181E-01   0.681730E+02
   254   0.538448E+04   0.273111E+01   0.231926E-01   0.697584E+02
   255   0.536448E+04   0.282227E+01   0.233669E-01   0.713309E+02
   256   0.534396E+04   0.291567E+01   0.235410E-01   0.728895E+02
   257   0.532294E+04   0.301133E+01   0.237149E-01   0.744337E+02
   258   0.530142E+04   0.310923E+01   0.238886E-01   0.759625E+02
   259   0.527941E+04   0.320940E+01   0.240620E-01   0.774762E+02
   260   0.525695E+04   0.331181E+01   0.242351E-01   0.789728E+02
   261   0.523402E+04   0.341648E+01   0.244079E-01   0.804529E+02
   262   0.521064E+04   0.352339E+01   0.245805E-01   0.819151E+02
   263   0.518684E+04   0.363256E+01   0.247527E-01   0.833594E+02
   264   0.516261E+04   0.374396E+01   0.249245E-01   0.847842E+02
   265   0.513795E+04   0.385760E+01   0.250960E-01   0.861904E+02
   266   0.511287E+04   0.397345E+01   0.252671E-01   0.875757E+02
   267   0.508739E+04   0.409150E+01   0.254378E-01   0.889394E+02
   268   0.506150E+04   0.421175E+01   0.256081E-01   0.902822E+02
   269   0.503522E+04   0.433419E+01   0.257779E-01   0.916020E+02
   270   0.500853E+04   0.445879E+01   0.259473E-01   0.928994E+02
   271   0.498147E+04   0.458554E+01   0.261163E-01   0.941723E+02
   272   0.495403E+04   0.471444E+01   0.262848E-01   0.954213E+02
   273   0.492624E+04   0.484544E+01   0.264528E-01   0.966452E+02
   274   0.489809E+04   0.497855E+01   0.266203E-01   0.978444E+02
   275   0.486960E+04   0.511372E+01   0.267874E-01   0.990170E+02
   276   0.484078E+04   0.525096E+01   0.269539E-01   0.100164E+03
   277   0.481164E+04   0.539022E+01   0.271198E-01   0.101283E+03
   278   0.478219E+04   0.553151E+01   0.272853E-01   0.102374E+03
   279   0.475244E+04   0.567476E+01   0.274501E-01   0.103437E+03
   280   0.472241E+04   0.581996E+01   0.276144E-01   0.104471E+03
   281   0.469209E+04   0.596709E+01   0.277782E-01   0.105477E+03
   282   0.466149E+04   0.611610E+01   0.279414E-01   0.106453E+03
   283   0.463065E+04   0.626698E+01   0.281039E-01   0.107399E+03
   284   0.459955E+04   0.641968E+01   0.282659E-01   0.108313E+03
   285   0.456821E+04   0.657419E+01   0.284273E-01   0.109196E+03
   286   0.453664E+04   0.673045E+01   0.285880E-01   0.110049E+03
   287   0.450486E+04   0.688843E+01   0.287482E-01   0.110869E+03
   288   0.447286E+04   0.704809E+01   0.289077E-01   0.111656E+03
   289   0.444067E+04   0.720941E+01   0.290666E-01   0.112412E+03
   290   0.440829E+04   0.737232E+01   0.292248E-01   0.113133E+03
   291   0.437574E+04   0.753683E+01   0.293824E-01   0.113821E+03
   292   0.434302E+04   0.770278E+01   0.295393E-01   0.114475E+03
   293   0.431013E+04   0.787026E+01   0.296956E-01   0.115095E+03
   294   0.427711E+04   0.803919E+01   0.298513E-01   0.115680E+03
   295   0.424394E+04   0.820942E+01   0.300062E-01   0.116230E+03
   296   0.421064E+04   0.838103E+01   0.301605E-01   0.116744E+03
   297   0.417721E+04   0.855386E+01   0.303141E-01   0.117222E+03
   298   0.414368E+04   0.872793E+01   0.304670E-01   0.117663E+03
   299   0.411005E+04   0.890314E+01   0.306193E-01   0.118068E+03
   300   0.407632E+04   0.907944E+01   0.307708E-01   0.118437E+03
   301   0.404252E+04   0.925689E+01   0.309217E-01   0.118768E+03
   302   0.400866E+04   0.943527E+01   0.310719E-01   0.119063E+03
   303   0.397474E+04   0.961465E+01   0.312214E-01   0.119320E+03
   304   0.394078E+04   0.979496E+01   0.313702E-01   0.119541E+03
   305   0.390680E+04   0.997613E+01   0.315183E-01   0.119725E+03
   306   0.387279E+04   0.101582E+02   0.316657E-01   0.119870E+03
   307   0.383878E+04   0.103409E+02   0.318124E-01   0.119978E+03
   308   0.380477E+04   0.105243E+02   0.319583E-01   0.120049E+03
   309   0.377077E+04   0.107084E+02   0.321036E-01   0.120082E+03
   310   0.373679E+04   0.108930E+02   0.322482E-01   0.120077E+03
   311   0.370284E+04   0.110781E+02   0.323921E-01   0.120034E+03
   312   0.366893E+04   0.112636E+02   0.325353E-01   0.119953E+03
   313   0.363508E+04   0.114496E+02   0.326779E-01   0.119834E+03
   314   0.360129E+04   0.116358E+02   0.328197E-01   0.119676E+03
   315   0.356756E+04   0.118222E+02   0.329608E-01   0.119480E+03
   316   0.353391E+04   0.120089E+02   0.331012E-01   0.119246E+03
   317   0.350036E+04   0.121956E+02   0.332410E-01   0.118974E+03
   318   0.346692E+04   0.123824E+02   0.333800E-01   0.118665E+03
   319   0.343358E+04   0.125691E+02   0.335184E-01   0.118317E+03
   320   0.340035E+04   0.127558E+02   0.336562E-01   0.117931E+03
   321   0.336728E+04   0.129423E+02   0.337932E-01   0.117508E+03
   322   0.333432E+04   0.131286E+02   0.339296E-01   0.117047E+03
   323   0.330153E+04   0.133145E+02   0.340654E-01   0.116548E+03
   324   0.326889E+04   0.135001E+02   0.342005E-01   0.116013E+03
   325   0.323643E+04   0.136852E+02   0.343350E-01   0.115440E+03
   326   0.320413E+04   0.138699E+02   0.344689E-01   0.114831E+03
   327   0.317202E+04   0.140540E+02   0.346021E-01   0.114184E+03
   328   0.314011E+04   0.142373E+02   0.347347E-01   0.113501E+03
   329   0.310840E+04   0.144200E+02   0.348668E-01   0.112782E+03
   330   0.307691E+04   0.146018E+02   0.349982E-01   0.112026E+03
   331   0.304564E+04   0.147828E+02   0.351291E-01   0.111235E+03
   332   0.301459E+04   0.149629E+02   0.352595E-01   0.110408E+03
   333   0.298378E+04   0.151419E+02   0.353892E-01   0.109546E+03
   334   0.295322E+04   0.153199E+02   0.355185E-01   0.108649E+03
   335   0.292291E+04   0.154966E+02   0.356472E-01   0.107718E+03
   336   0.289287E+04   0.156722E+02   0.357754E-01   0.106753E+03
   337   0.286309E+04   0.158465E+02   0.359032E-01   0.105754E+03
   338   0.283359E+04   0.160194E+02   0.360305E-01   0.104722E+03
   339   0.280438E+04   0.161909E+02   0.361573E-01   0.103657E+03
   340   0.277547E+04   0.163610E+02   0.362837E-01   0.102561E+03
   341   0.274685E+04   0.165294E+02   0.364096E-01   0.101432E+03
   342   0.271854E+04   0.166962E+02   0.365352E-01   0.100271E+03
   343   0.269054E+04   0.168612E+02   0.366604E-01   0.990794E+02
   344   0.266285E+04   0.170244E+02   0.367852E-01   0.978564E+02
   345   0.263548E+04   0.171858E+02   0.369097E-01   0.966027E+02
   346   0.260844E+04   0.173451E+02   0.370338E-01   0.953183E+02
   347   0.258172E+04   0.175024E+02   0.371577E-01   0.940039E+02
   348   0.255534E+04   0.176575E+02   0.372812E-01   0.926596E+02
   349   0.252930E+04   0.178105E+02   0.374045E-01   0.912877E+02
   350   0.250361E+04   0.179612E+02   0.375276E-01   0.898872E+02
   351   0.247828E+04   0.181098E+02   0.376504E-01   0.884598E+02
   352   0.245332E+04   0.182560E+02   0.377730E-01   0.870062E+02
   353   0.242873E+04   0.183999E+02   0.378955E-01   0.855264E+02
   354   0.240452E+04   0.185414E+02   0.380177E-01   0.840225E+02
   355   0.238070E+04   0.186804E+02   0.381399E-01   0.824940E+02
   356   0.235726E+04   0.188168E+02   0.382619E-01   0.809414E+02
   357   0.233421E+04   0.189507E+02   0.383839E-01   0.793656E+02
   358   0.231157E+04   0.190819E+02   0.385058E-01   0.777674E+02
   359   0.228932E+04   0.192103E+02   0.386276E-01   0.761466E+02
   360   0.226746E+04   0.193359E+02   0.387494E-01   0.745048E+02
   361   0.224602E+04   0.194586E+02   0.388712E-01   0.728409E+02
   362   0.222497E+04   0.195784E+02   0.389930E-01   0.711569E+02
