 a		phi		phidot		fde
    0.202610E-06    0.100000E+02    0.934608E-10    0.147431E-12
    0.203265E-06    0.100000E+02    0.944147E-10    0.149344E-12
    0.203921E-06    0.100000E+02    0.953776E-10    0.151283E-12
    0.204580E-06    0.100000E+02    0.963495E-10    0.153246E-12
    0.205240E-06    0.100000E+02    0.973305E-10    0.155235E-12
    0.205903E-06    0.100000E+02    0.983209E-10    0.157250E-12
    0.206568E-06    0.100000E+02    0.993205E-10    0.159290E-12
    0.207235E-06    0.100000E+02    0.100330E-09    0.161358E-12
    0.207904E-06    0.100000E+02    0.101348E-09    0.163452E-12
    0.208576E-06    0.100000E+02    0.102376E-09    0.165573E-12
    0.209249E-06    0.100000E+02    0.103414E-09    0.167722E-12
    0.209925E-06    0.100000E+02    0.104462E-09    0.169899E-12
    0.210603E-06    0.100000E+02    0.105520E-09    0.172104E-12
    0.211283E-06    0.100000E+02    0.106587E-09    0.174337E-12
    0.211966E-06    0.100000E+02    0.107665E-09    0.176600E-12
    0.212650E-06    0.100000E+02    0.108753E-09    0.178892E-12
    0.213337E-06    0.100000E+02    0.109852E-09    0.181214E-12
    0.214026E-06    0.100000E+02    0.110960E-09    0.183566E-12
    0.214717E-06    0.100000E+02    0.112079E-09    0.185948E-12
    0.215410E-06    0.100000E+02    0.113209E-09    0.188361E-12
    0.216106E-06    0.100000E+02    0.114350E-09    0.190806E-12
    0.216804E-06    0.100000E+02    0.115501E-09    0.193282E-12
    0.217504E-06    0.100000E+02    0.116663E-09    0.195791E-12
    0.218207E-06    0.100000E+02    0.117837E-09    0.198332E-12
    0.218911E-06    0.100000E+02    0.119021E-09    0.200906E-12
    0.219618E-06    0.100000E+02    0.120217E-09    0.203513E-12
    0.220327E-06    0.100000E+02    0.121424E-09    0.206154E-12
    0.221039E-06    0.100000E+02    0.122643E-09    0.208830E-12
    0.221753E-06    0.100000E+02    0.123873E-09    0.211540E-12
    0.222469E-06    0.100000E+02    0.125115E-09    0.214286E-12
    0.223187E-06    0.100000E+02    0.126369E-09    0.217067E-12
    0.223908E-06    0.100000E+02    0.127634E-09    0.219884E-12
    0.224631E-06    0.100000E+02    0.128912E-09    0.222738E-12
    0.225357E-06    0.100000E+02    0.130202E-09    0.225628E-12
    0.226085E-06    0.100000E+02    0.131504E-09    0.228557E-12
    0.226815E-06    0.100000E+02    0.132819E-09    0.231523E-12
    0.227547E-06    0.100000E+02    0.134146E-09    0.234528E-12
    0.228282E-06    0.100000E+02    0.135486E-09    0.237571E-12
    0.229019E-06    0.100000E+02    0.136838E-09    0.240654E-12
    0.229759E-06    0.100000E+02    0.138204E-09    0.243778E-12
    0.230501E-06    0.100000E+02    0.139583E-09    0.246942E-12
    0.231245E-06    0.100000E+02    0.140974E-09    0.250146E-12
    0.231992E-06    0.100000E+02    0.142379E-09    0.253393E-12
    0.232741E-06    0.100000E+02    0.143798E-09    0.256681E-12
    0.233493E-06    0.100000E+02    0.145230E-09    0.260013E-12
    0.234247E-06    0.100000E+02    0.146676E-09    0.263387E-12
    0.235003E-06    0.100000E+02    0.148135E-09    0.266805E-12
    0.235762E-06    0.100000E+02    0.149609E-09    0.270268E-12
