 a		phi		phidot		fde
    0.175246E-06    0.156033E+01   -0.731206E-15    0.821754E-16
    0.175812E-06    0.156033E+01   -0.739073E-15    0.832420E-16
    0.176380E-06    0.156033E+01   -0.747011E-15    0.843224E-16
    0.176950E-06    0.156033E+01   -0.755022E-15    0.854168E-16
    0.177521E-06    0.156033E+01   -0.763106E-15    0.865254E-16
    0.178094E-06    0.156033E+01   -0.771264E-15    0.876483E-16
    0.178669E-06    0.156033E+01   -0.779496E-15    0.887859E-16
    0.179247E-06    0.156033E+01   -0.787803E-15    0.899382E-16
    0.179825E-06    0.156033E+01   -0.796187E-15    0.911055E-16
    0.180406E-06    0.156033E+01   -0.804647E-15    0.922879E-16
    0.180989E-06    0.156033E+01   -0.813185E-15    0.934857E-16
    0.181573E-06    0.156033E+01   -0.821801E-15    0.946990E-16
    0.182160E-06    0.156033E+01   -0.830496E-15    0.959281E-16
    0.182748E-06    0.156033E+01   -0.839271E-15    0.971731E-16
    0.183338E-06    0.156033E+01   -0.848127E-15    0.984343E-16
    0.183930E-06    0.156033E+01   -0.857065E-15    0.997118E-16
    0.184524E-06    0.156033E+01   -0.866085E-15    0.101006E-15
    0.185120E-06    0.156033E+01   -0.875188E-15    0.102317E-15
    0.185718E-06    0.156033E+01   -0.884376E-15    0.103645E-15
    0.186318E-06    0.156033E+01   -0.893648E-15    0.104990E-15
    0.186919E-06    0.156033E+01   -0.903006E-15    0.106353E-15
    0.187523E-06    0.156033E+01   -0.912450E-15    0.107733E-15
    0.188129E-06    0.156033E+01   -0.921983E-15    0.109131E-15
    0.188736E-06    0.156033E+01   -0.931603E-15    0.110548E-15
    0.189346E-06    0.156033E+01   -0.941313E-15    0.111982E-15
    0.189957E-06    0.156033E+01   -0.951113E-15    0.113436E-15
    0.190571E-06    0.156033E+01   -0.961004E-15    0.114908E-15
    0.191186E-06    0.156033E+01   -0.970986E-15    0.116399E-15
    0.191804E-06    0.156033E+01   -0.981062E-15    0.117910E-15
    0.192423E-06    0.156033E+01   -0.991232E-15    0.119440E-15
    0.193044E-06    0.156033E+01   -0.100150E-14    0.120990E-15
    0.193668E-06    0.156033E+01   -0.101186E-14    0.122561E-15
    0.194293E-06    0.156033E+01   -0.102231E-14    0.124151E-15
    0.194921E-06    0.156033E+01   -0.103287E-14    0.125763E-15
    0.195550E-06    0.156033E+01   -0.104352E-14    0.127395E-15
    0.196182E-06    0.156033E+01   -0.105427E-14    0.129048E-15
    0.196815E-06    0.156033E+01   -0.106513E-14    0.130723E-15
    0.197451E-06    0.156033E+01   -0.107608E-14    0.132420E-15
    0.198089E-06    0.156033E+01   -0.108714E-14    0.134138E-15
    0.198728E-06    0.156033E+01   -0.109830E-14    0.135879E-15
    0.199370E-06    0.156033E+01   -0.110956E-14    0.137643E-15
    0.200014E-06    0.156033E+01   -0.112094E-14    0.139429E-15
    0.200660E-06    0.156033E+01   -0.113241E-14    0.141239E-15
    0.201308E-06    0.156033E+01   -0.114400E-14    0.143072E-15
    0.201958E-06    0.156033E+01   -0.115569E-14    0.144929E-15
    0.202610E-06    0.156033E+01   -0.116750E-14    0.146810E-15
    0.203265E-06    0.156033E+01   -0.117941E-14    0.148715E-15
    0.203921E-06    0.156033E+01   -0.119144E-14    0.150645E-15
    0.204580E-06    0.156033E+01   -0.120358E-14    0.152600E-15
    0.205240E-06    0.156033E+01   -0.121584E-14    0.154581E-15
    0.205903E-06    0.156033E+01   -0.122821E-14    0.156587E-15
    0.206568E-06    0.156033E+01   -0.124070E-14    0.158619E-15
    0.207235E-06    0.156033E+01   -0.125330E-14    0.160678E-15
    0.207904E-06    0.156033E+01   -0.126603E-14    0.162763E-15
    0.208576E-06    0.156033E+01   -0.127887E-14    0.164875E-15
    0.209249E-06    0.156033E+01   -0.129184E-14    0.167015E-15
    0.209925E-06    0.156033E+01   -0.130492E-14    0.169183E-15
    0.210603E-06    0.156033E+01   -0.131814E-14    0.171379E-15
    0.211283E-06    0.156033E+01   -0.133147E-14    0.173603E-15
    0.211966E-06    0.156033E+01   -0.134494E-14    0.175856E-15
    0.212650E-06    0.156033E+01   -0.135853E-14    0.178138E-15
    0.213337E-06    0.156033E+01   -0.137225E-14    0.180450E-15
    0.214026E-06    0.156033E+01   -0.138610E-14    0.182792E-15
    0.214717E-06    0.156033E+01   -0.140008E-14    0.185164E-15
    0.215410E-06    0.156033E+01   -0.141419E-14    0.187568E-15
    0.216106E-06    0.156033E+01   -0.142844E-14    0.190002E-15
    0.216804E-06    0.156033E+01   -0.144282E-14    0.192468E-15
    0.217504E-06    0.156033E+01   -0.145734E-14    0.194966E-15
    0.218207E-06    0.156033E+01   -0.147200E-14    0.197496E-15
    0.218911E-06    0.156033E+01   -0.148680E-14    0.200059E-15
    0.219618E-06    0.156033E+01   -0.150173E-14    0.202656E-15
    0.220327E-06    0.156033E+01   -0.151681E-14    0.205286E-15
    0.221039E-06    0.156033E+01   -0.153203E-14    0.207950E-15
    0.221753E-06    0.156033E+01   -0.154740E-14    0.210649E-15
    0.222469E-06    0.156033E+01   -0.156292E-14    0.213383E-15
    0.223187E-06    0.156033E+01   -0.157858E-14    0.216152E-15
    0.223908E-06    0.156033E+01   -0.159439E-14    0.218957E-15
    0.224631E-06    0.156033E+01   -0.161035E-14    0.221799E-15
    0.225357E-06    0.156033E+01   -0.162646E-14    0.224677E-15
    0.226085E-06    0.156033E+01   -0.164273E-14    0.227593E-15
    0.226815E-06    0.156033E+01   -0.165915E-14    0.230547E-15
    0.227547E-06    0.156033E+01   -0.167573E-14    0.233539E-15
    0.228282E-06    0.156033E+01   -0.169247E-14    0.236570E-15
    0.229019E-06    0.156033E+01   -0.170936E-14    0.239640E-15
    0.229759E-06    0.156033E+01   -0.172642E-14    0.242750E-15
    0.230501E-06    0.156033E+01   -0.174364E-14    0.245901E-15
    0.231245E-06    0.156033E+01   -0.176103E-14    0.249092E-15
    0.231992E-06    0.156033E+01   -0.177858E-14    0.252325E-15
    0.232741E-06    0.156033E+01   -0.179630E-14    0.255600E-15
    0.233493E-06    0.156033E+01   -0.181419E-14    0.258917E-15
    0.234247E-06    0.156033E+01   -0.183225E-14    0.262277E-15
    0.235003E-06    0.156033E+01   -0.185048E-14    0.265681E-15
    0.235762E-06    0.156033E+01   -0.186889E-14    0.269129E-15
    0.236524E-06    0.156033E+01   -0.188747E-14    0.272622E-15
    0.237288E-06    0.156033E+01   -0.190623E-14    0.276160E-15
    0.238054E-06    0.156033E+01   -0.192517E-14    0.279744E-15
    0.238823E-06    0.156033E+01   -0.194430E-14    0.283375E-15
    0.239594E-06    0.156033E+01   -0.196360E-14    0.287052E-15
    0.240368E-06    0.156033E+01   -0.198309E-14    0.290778E-15
    0.241144E-06    0.156033E+01   -0.200277E-14    0.294551E-15
    0.241923E-06    0.156033E+01   -0.202263E-14    0.298374E-15
    0.242704E-06    0.156033E+01   -0.204269E-14    0.302246E-15
    0.243488E-06    0.156033E+01   -0.206294E-14    0.306169E-15
    0.244274E-06    0.156033E+01   -0.208338E-14    0.310142E-15
    0.245063E-06    0.156033E+01   -0.210402E-14    0.314167E-15
    0.245854E-06    0.156033E+01   -0.212486E-14    0.318245E-15
    0.246648E-06    0.156033E+01   -0.214589E-14    0.322375E-15
    0.247445E-06    0.156033E+01   -0.216713E-14    0.326559E-15
    0.248244E-06    0.156033E+01   -0.218858E-14    0.330797E-15
    0.249046E-06    0.156033E+01   -0.221023E-14    0.335090E-15
    0.249850E-06    0.156033E+01   -0.223208E-14    0.339439E-15
    0.250657E-06    0.156033E+01   -0.225415E-14    0.343844E-15
    0.251466E-06    0.156033E+01   -0.227643E-14    0.348306E-15
    0.252279E-06    0.156033E+01   -0.229892E-14    0.352826E-15
    0.253093E-06    0.156033E+01   -0.232163E-14    0.357405E-15
    0.253911E-06    0.156033E+01   -0.234456E-14    0.362044E-15
    0.254731E-06    0.156033E+01   -0.236771E-14    0.366742E-15
    0.255553E-06    0.156033E+01   -0.239108E-14    0.371502E-15
    0.256379E-06    0.156033E+01   -0.241467E-14    0.376323E-15
    0.257207E-06    0.156033E+01   -0.243850E-14    0.381207E-15
    0.258037E-06    0.156033E+01   -0.246255E-14    0.386154E-15
    0.258871E-06    0.156033E+01   -0.248683E-14    0.391166E-15
    0.259707E-06    0.156033E+01   -0.251135E-14    0.396242E-15
    0.260545E-06    0.156033E+01   -0.253610E-14    0.401385E-15
    0.261387E-06    0.156033E+01   -0.256109E-14    0.406594E-15
    0.262231E-06    0.156033E+01   -0.258632E-14    0.411870E-15
    0.263078E-06    0.156033E+01   -0.261180E-14    0.417216E-15
    0.263927E-06    0.156033E+01   -0.263752E-14    0.422630E-15
    0.264780E-06    0.156033E+01   -0.266349E-14    0.428115E-15
    0.265635E-06    0.156033E+01   -0.268971E-14    0.433671E-15
    0.266493E-06    0.156033E+01   -0.271618E-14    0.439299E-15
    0.267353E-06    0.156033E+01   -0.274290E-14    0.445000E-15
    0.268217E-06    0.156033E+01   -0.276989E-14    0.450775E-15
    0.269083E-06    0.156033E+01   -0.279713E-14    0.456625E-15
    0.269952E-06    0.156033E+01   -0.282464E-14    0.462551E-15
    0.270824E-06    0.156033E+01   -0.285241E-14    0.468554E-15
    0.271698E-06    0.156033E+01   -0.288045E-14    0.474635E-15
    0.272576E-06    0.156033E+01   -0.290876E-14    0.480795E-15
    0.273456E-06    0.156033E+01   -0.293734E-14    0.487034E-15
    0.274339E-06    0.156033E+01   -0.296620E-14    0.493355E-15
    0.275225E-06    0.156033E+01   -0.299534E-14    0.499757E-15
    0.276114E-06    0.156033E+01   -0.302476E-14    0.506243E-15
    0.277006E-06    0.156033E+01   -0.305446E-14    0.512813E-15
    0.277900E-06    0.156033E+01   -0.308445E-14    0.519468E-15
    0.278798E-06    0.156033E+01   -0.311473E-14    0.526210E-15
    0.279698E-06    0.156033E+01   -0.314530E-14    0.533039E-15
    0.280601E-06    0.156033E+01   -0.317616E-14    0.539956E-15
    0.281507E-06    0.156033E+01   -0.320733E-14    0.546964E-15
    0.282417E-06    0.156033E+01   -0.323879E-14    0.554062E-15
    0.283329E-06    0.156033E+01   -0.327056E-14    0.561252E-15
    0.284244E-06    0.156033E+01   -0.330264E-14    0.568536E-15
    0.285162E-06    0.156033E+01   -0.333502E-14    0.575914E-15
    0.286083E-06    0.156033E+01   -0.336772E-14    0.583388E-15
    0.287006E-06    0.156033E+01   -0.340074E-14    0.590959E-15
    0.287933E-06    0.156033E+01   -0.343407E-14    0.598628E-15
    0.288863E-06    0.156033E+01   -0.346772E-14    0.606397E-15
    0.289796E-06    0.156033E+01   -0.350171E-14    0.614267E-15
    0.290732E-06    0.156033E+01   -0.353601E-14    0.622238E-15
    0.291671E-06    0.156033E+01   -0.357066E-14    0.630313E-15
    0.292613E-06    0.156033E+01   -0.360563E-14    0.638493E-15
    0.293558E-06    0.156033E+01   -0.364095E-14    0.646779E-15
    0.294506E-06    0.156033E+01   -0.367660E-14    0.655173E-15
    0.295457E-06    0.156033E+01   -0.371260E-14    0.663675E-15
    0.296411E-06    0.156033E+01   -0.374895E-14    0.672288E-15
    0.297368E-06    0.156033E+01   -0.378565E-14    0.681013E-15
    0.298329E-06    0.156033E+01   -0.382270E-14    0.689851E-15
    0.299292E-06    0.156033E+01   -0.386012E-14    0.698803E-15
    0.300259E-06    0.156033E+01   -0.389789E-14    0.707872E-15
    0.301228E-06    0.156033E+01   -0.393603E-14    0.717058E-15
    0.302201E-06    0.156033E+01   -0.397454E-14    0.726364E-15
    0.303177E-06    0.156033E+01   -0.401342E-14    0.735790E-15
    0.304156E-06    0.156033E+01   -0.405268E-14    0.745339E-15
    0.305138E-06    0.156033E+01   -0.409232E-14    0.755011E-15
    0.306124E-06    0.156033E+01   -0.413234E-14    0.764809E-15
    0.307112E-06    0.156033E+01   -0.417275E-14    0.774734E-15
    0.308104E-06    0.156033E+01   -0.421355E-14    0.784788E-15
    0.309099E-06    0.156033E+01   -0.425474E-14    0.794973E-15
    0.310098E-06    0.156033E+01   -0.429634E-14    0.805290E-15
    0.311099E-06    0.156033E+01   -0.433833E-14    0.815740E-15
    0.312104E-06    0.156033E+01   -0.438074E-14    0.826326E-15
    0.313112E-06    0.156033E+01   -0.442355E-14    0.837050E-15
    0.314123E-06    0.156033E+01   -0.446678E-14    0.847912E-15
